date,tmax_prev,tmin_prev,prcp_prev,ws_prev,rad_prev,sun_prev,cloud_prev,source
2022-10-19,21.1,12.5,0.0,9.5,10.74,33991.36,60.0,open-meteo-historical
2022-10-20,20.8,13.4,7.5,27.9,5.21,23050.23,100.0,open-meteo-historical
2022-10-21,20.2,14.6,15.2,30.4,7.92,27568.67,100.0,open-meteo-historical
2022-10-22,20.8,11.9,1.5,17.8,11.16,33264.54,55.0,open-meteo-historical
2022-10-23,22.3,12.8,3.4,38.2,6.56,26499.01,97.0,open-meteo-historical
2022-10-24,19.7,12.5,0.0,20.7,8.51,32700.48,82.0,open-meteo-historical
2022-10-25,18.7,10.6,0.0,12.1,9.54,32182.52,83.0,open-meteo-historical
2022-10-26,22.1,12.9,0.3,14.2,9.6,32751.26,72.0,open-meteo-historical
2022-10-27,21.7,12.0,0.0,20.1,9.25,32171.96,57.0,open-meteo-historical
2022-10-28,24.3,14.0,0.0,22.5,10.0,32450.98,72.0,open-meteo-historical
2022-10-29,21.4,12.9,0.0,19.8,6.85,32221.81,100.0,open-meteo-historical
2022-10-30,21.8,12.5,0.0,17.6,9.17,32120.75,92.0,open-meteo-historical
2022-10-31,20.9,11.6,2.4,29.6,8.2,30576.67,94.0,open-meteo-historical
2022-11-01,16.1,10.7,5.1,23.7,9.73,31912.75,56.0,open-meteo-historical
2022-11-02,15.7,9.2,0.0,10.0,8.64,31775.6,81.0,open-meteo-historical
2022-11-03,15.4,7.9,10.6,28.5,4.96,24258.87,99.0,open-meteo-historical
2022-11-04,9.6,6.7,8.0,23.3,1.05,5184.99,93.0,open-meteo-historical
2022-11-05,11.2,6.2,0.1,18.6,7.93,31389.4,90.0,open-meteo-historical
2022-11-06,10.6,3.3,0.0,22.1,5.22,26011.03,67.0,open-meteo-historical
2022-11-07,16.0,7.8,0.0,19.3,7.57,29594.63,70.0,open-meteo-historical
2022-11-08,17.5,7.4,2.8,25.1,7.68,30320.53,90.0,open-meteo-historical
2022-11-09,13.7,10.5,8.0,22.5,1.06,1304.15,100.0,open-meteo-historical
2022-11-10,13.3,7.1,0.0,10.4,8.4,30442.0,24.0,open-meteo-historical
2022-11-11,13.8,5.3,0.0,8.8,7.51,30257.93,75.0,open-meteo-historical
2022-11-12,13.5,6.5,0.0,8.5,6.55,29834.45,70.0,open-meteo-historical
2022-11-13,12.8,5.5,0.0,11.2,6.93,20714.98,63.0,open-meteo-historical
2022-11-14,14.9,5.4,1.5,14.4,4.74,21155.13,94.0,open-meteo-historical
