date,tmax_obs,tmin_obs,prcp_obs
2022-10-19,22.2,10.6,0.5
2022-10-20,20.5,12.7,0.3
2022-10-21,19.7,13.2,0.0
2022-10-22,22.5,12.0,37.3
2022-10-23,21.0,9.7,0.5
2022-10-24,21.2,12.1,7.9
2022-10-25,19.1,6.7,0.5
2022-10-26,23.5,11.6,0.5
2022-10-27,22.8,9.1,0.2
2022-10-28,23.6,13.8,0.2
2022-10-29,22.5,8.6,0.3
2022-10-30,21.2,8.3,0.2
2022-10-31,20.5,8.8,0.0
2022-11-01,18.6,8.1,10.7
2022-11-02,17.1,7.0,0.0
2022-11-03,13.5,5.7,4.7
2022-11-04,12.5,7.8,0.0
2022-11-05,12.1,6.5,5.3
2022-11-06,10.0,4.1,0.0
2022-11-07,16.5,5.9,0.0
2022-11-08,17.6,2.5,0.2
2022-11-09,15.1,7.9,1.3
2022-11-10,12.4,4.2,4.8
2022-11-11,10.0,2.1,0.3
2022-11-12,9.4,6.8,0.5
2022-11-13,8.9,5.2,0.0
2022-11-14,16.1,5.8,0.0
2022-11-15,13.7,10.5,0.0
2022-11-16,14.6,8.3,9.4
2022-11-17,15.0,9.6,7.4
2022-11-18,11.5,6.1,0.0
2022-11-19,10.1,1.8,0.5
2022-11-20,9.6,4.3,0.5
2022-11-21,8.3,6.0,1.5
2022-11-22,10.6,4.1,2.5
2022-11-23,8.0,2.4,0.5
2022-11-24,12.5,4.1,2.3
2022-11-25,10.5,3.3,0.0
2022-11-26,6.2,-0.3,0.5
2022-11-27,7.5,3.5,0.0
2022-11-28,9.7,4.2,0.0
2022-11-29,9.3,4.4,9.7
2022-11-30,8.3,4.7,0.3
2022-12-01,7.7,3.8,0.0
2022-12-02,4.7,3.5,0.0
2022-12-03,5.3,0.8,0.5
2022-12-04,3.8,2.4,0.0
2022-12-05,5.8,1.0,0.0
2022-12-06,5.0,-1.4,0.3
2022-12-07,6.4,-0.8,0.0
2022-12-08,3.6,-2.0,0.0
2022-12-09,2.8,-2.9,0.0
2022-12-10,2.6,-3.1,0.0
2022-12-11,-2.0,-6.3,0.0
2022-12-12,-2.5,-6.2,0.0
2022-12-13,-0.2,-5.0,0.0
2022-12-14,5.6,-1.2,3.3
2022-12-15,2.5,1.0,0.0
2022-12-16,2.3,-5.1,0.3
2022-12-17,-0.3,-6.7,0.0
2022-12-18,0.0,-4.7,0.0
2022-12-19,14.1,-0.5,0.0
2022-12-20,14.7,8.2,0.0
2022-12-21,13.1,10.3,8.4
2022-12-22,13.0,9.8,1.5
2022-12-23,14.3,10.3,11.4
2022-12-24,13.2,8.4,1.3
2022-12-25,12.5,7.3,0.0
2022-12-26,11.7,6.2,0.0
2022-12-27,10.4,0.8,2.3
2022-12-28,9.5,1.7,0.0
2022-12-29,12.0,8.6,0.0
2022-12-30,12.1,6.1,0.0
2022-12-31,15.1,9.7,1.3
2023-01-01,16.8,10.3,0.3
2023-01-02,14.5,6.4,0.0
2023-01-03,8.7,2.0,0.8
2023-01-04,10.2,3.0,0.0
2023-01-05,14.4,6.8,2.3
2023-01-06,12.6,6.6,0.0
2023-01-07,13.5,6.6,0.0
2023-01-08,11.5,7.6,8.4
2023-01-09,9.4,4.4,2.3
2023-01-10,7.2,1.7,1.3
2023-01-11,10.5,5.7,0.3
2023-01-12,10.6,5.9,0.0
2023-01-13,11.8,5.5,0.0
2023-01-14,9.2,5.1,0.0
2023-01-15,9.3,5.3,1.8
2023-01-16,7.7,2.7,1.5
2023-01-17,3.8,0.4,5.1
2023-01-18,2.5,-2.3,0.0
2023-01-19,3.5,-3.5,0.0
2023-01-20,4.4,-5.0,0.0
2023-01-21,3.5,-1.0,0.5
2023-01-22,1.4,-1.6,0.0
2023-01-23,3.0,0.8,0.0
2023-01-24,3.8,2.0,0.0
2023-01-25,4.0,2.3,0.0
2023-01-26,2.8,-0.8,0.0
2023-01-27,1.3,-0.9,0.0
2023-01-28,4.0,-0.5,0.0
2023-01-29,4.0,-5.0,0.0
2023-01-30,4.2,-6.4,0.0
2023-01-31,7.0,1.4,0.5
2023-02-01,8.1,3.4,0.0
2023-02-02,8.5,5.0,0.0
2023-02-03,9.2,4.5,0.0
2023-02-04,11.5,6.1,0.2
2023-02-05,9.4,5.0,0.5
2023-02-06,7.5,2.0,0.5
2023-02-07,6.5,-2.6,0.0
2023-02-08,5.6,-3.3,0.0
2023-02-09,6.6,-7.3,0.0
2023-02-10,7.1,-7.0,0.0
2023-02-11,9.3,-5.6,0.0
2023-02-12,10.3,0.1,0.0
2023-02-13,8.7,-4.8,0.0
2023-02-14,14.1,-4.6,0.0
2023-02-15,14.3,-4.1,0.0
2023-02-16,14.5,-4.0,0.0
2023-02-17,13.7,7.8,0.0
2023-02-18,16.7,10.1,0.0
2023-02-19,12.3,4.8,0.0
2023-02-20,15.3,-0.5,0.0
2023-02-21,14.3,-2.7,0.0
2023-02-22,10.1,0.7,0.0
2023-02-23,11.6,6.3,0.0
2023-02-24,13.1,6.4,5.6
2023-02-25,10.4,2.8,0.3
2023-02-26,5.1,-1.3,0.0
2023-02-27,5.7,-0.6,0.0
2023-02-28,3.5,-1.4,0.0
2023-03-01,6.2,-3.6,0.0
2023-03-02,7.7,0.0,0.0
2023-03-03,10.5,-3.0,0.0
2023-03-04,11.0,-0.3,0.0
2023-03-05,9.6,-2.5,0.0
2023-03-06,6.2,-0.8,0.0
2023-03-07,6.5,0.0,0.0
2023-03-08,10.8,-0.2,0.0
2023-03-09,16.5,7.7,5.3
2023-03-10,11.7,4.7,11.2
2023-03-11,7.5,1.4,0.0
2023-03-12,15.2,5.9,2.0
2023-03-13,21.3,7.6,1.5
2023-03-14,14.0,5.7,5.8
2023-03-15,12.7,-2.5,3.3
2023-03-16,15.7,-0.6,0.0
2023-03-17,17.0,6.6,0.0
2023-03-18,15.5,4.7,0.0
2023-03-19,15.3,4.6,0.0
2023-03-20,14.6,4.8,0.8
2023-03-21,14.9,1.9,0.0
2023-03-22,18.8,0.9,0.0
2023-03-23,16.5,11.4,0.0
2023-03-24,15.3,8.9,2.3
2023-03-25,14.9,6.6,5.6
2023-03-26,13.6,5.7,2.3
2023-03-27,8.9,3.5,2.3
2023-03-28,11.5,-1.5,0.0
2023-03-29,19.0,5.2,0.0
2023-03-30,19.2,12.2,0.8
2023-03-31,16.3,9.8,3.3
